latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
26.86705,67.60253,342.84,0.45,0.63,2024-08-15,749,N,VIIRS,n,2,293.38,20.64,D,0
26.86815,67.60706,367.0,0.45,0.63,2024-08-15,749,N,VIIRS,h,2,295.34,51.47,D,0
28.42624,69.70103,318.17,0.4,0.37,2024-08-18,2059,N,VIIRS,n,2,291.6,1.55,N,2
28.4228,69.69778,306.04,0.41,0.6,2024-08-20,2021,N,VIIRS,n,2,290.63,0.93,N,0
28.42593,69.70023,307.14,0.41,0.6,2024-08-20,2021,N,VIIRS,n,2,290.74,0.55,N,2
28.42421,69.70006,310.01,0.33,0.55,2024-08-21,2142,N,VIIRS,n,2,291.5,1.0,N,2
28.42603,69.70111,311.53,0.33,0.55,2024-08-21,2142,N,VIIRS,n,2,291.14,0.92,N,2
28.60995,68.63241,314.68,0.56,0.51,2024-08-21,2142,N,VIIRS,n,2,291.03,3.98,N,2
28.6112,68.62677,333.93,0.56,0.51,2024-08-21,2142,N,VIIRS,n,2,290.93,3.98,N,2
28.61033,68.62748,336.76,0.47,0.48,2024-08-22,859,N,VIIRS,n,2,296.69,2.05,D,2
28.42576,69.70107,308.77,0.53,0.42,2024-08-22,2124,N,VIIRS,n,2,293.74,2.93,N,2
28.60917,68.63203,309.47,0.47,0.4,2024-08-22,2124,N,VIIRS,n,2,293.67,0.85,N,2
28.61005,68.62729,317.27,0.47,0.4,2024-08-22,2124,N,VIIRS,n,2,293.66,1.38,N,2
28.61366,68.62813,331.27,0.47,0.4,2024-08-22,2124,N,VIIRS,n,2,294.07,2.01,N,2
26.24516,68.85538,337.91,0.41,0.37,2024-08-23,839,N,VIIRS,n,2,304.52,7.13,D,0
28.23292,70.15071,331.43,0.47,0.4,2024-08-23,840,N,VIIRS,l,2,305.86,4.38,D,0
28.61135,68.62734,343.21,0.42,0.37,2024-08-23,840,N,VIIRS,n,2,307.19,5.35,D,2
26.2435,68.85826,329.92,0.38,0.36,2024-08-23,2105,N,VIIRS,n,2,278.0,3.45,N,0
26.24409,68.85443,331.15,0.38,0.36,2024-08-23,2105,N,VIIRS,n,2,276.12,3.45,N,0
26.2468,68.85889,303.31,0.38,0.36,2024-08-23,2105,N,VIIRS,n,2,279.08,0.35,N,0
26.2474,68.85507,303.76,0.38,0.36,2024-08-23,2105,N,VIIRS,n,2,276.39,0.35,N,0
28.42575,69.70272,308.32,0.38,0.36,2024-08-23,2105,N,VIIRS,n,2,281.64,0.77,N,2
28.60678,68.63476,315.74,0.39,0.36,2024-08-23,2105,N,VIIRS,n,2,293.03,0.86,N,2
28.61011,68.63541,307.84,0.39,0.36,2024-08-23,2105,N,VIIRS,n,2,293.21,0.77,N,2
28.6113,68.62745,333.97,0.39,0.36,2024-08-23,2105,N,VIIRS,n,2,294.29,3.28,N,2
28.38462,67.83779,331.08,0.5,0.66,2024-08-26,743,N,VIIRS,n,2,291.0,3.76,D,0
28.60863,68.63252,330.88,0.45,0.63,2024-08-26,743,N,VIIRS,n,2,292.69,2.56,D,2
26.78957,68.9287,325.83,0.56,0.51,2024-08-30,2034,N,VIIRS,n,2,288.83,3.47,N,0
26.78994,68.92688,325.3,0.56,0.51,2024-08-30,2034,N,VIIRS,n,2,288.62,3.39,N,0
28.05213,69.36883,334.64,0.34,0.56,2024-08-31,749,N,VIIRS,n,2,291.52,1.76,D,2
28.95004,69.08849,300.89,0.47,0.48,2024-09-01,2136,N,VIIRS,n,2,287.65,0.72,N,0
27.89038,69.15046,309.63,0.43,0.38,2024-09-02,2117,N,VIIRS,n,2,294.26,1.01,N,0
28.42448,69.69971,309.82,0.45,0.39,2024-09-02,2117,N,VIIRS,n,2,294.65,0.74,N,2
28.94738,69.08954,307.63,0.42,0.38,2024-09-02,2117,N,VIIRS,n,2,290.73,0.56,N,0
28.9468,69.0881,303.35,0.42,0.37,2024-09-03,2058,N,VIIRS,n,2,288.86,0.4,N,0
28.94697,69.08517,303.34,0.47,0.47,2024-09-04,2039,N,VIIRS,n,2,291.54,0.48,N,0
27.00592,68.4155,332.86,0.33,0.55,2024-09-05,755,N,VIIRS,n,2,298.95,1.94,D,0
28.94709,69.08639,304.46,0.58,0.52,2024-09-06,2142,N,VIIRS,n,2,292.85,0.43,N,0
28.94885,69.08608,305.56,0.48,0.4,2024-09-07,2123,N,VIIRS,n,2,293.13,0.4,N,0
28.50744,67.90978,339.94,0.4,0.37,2024-09-08,840,N,VIIRS,n,2,305.84,4.72,D,0
28.9472,69.08657,312.55,0.39,0.36,2024-09-08,2104,N,VIIRS,n,2,294.26,0.53,N,0
26.245,68.85652,336.67,0.55,0.42,2024-09-09,2046,N,VIIRS,n,2,298.19,6.59,N,0
28.9484,69.0863,305.04,0.57,0.43,2024-09-09,2046,N,VIIRS,n,2,294.45,0.66,N,0
28.9498,69.08733,305.73,0.57,0.43,2024-09-09,2046,N,VIIRS,n,2,294.59,0.89,N,0
26.24517,68.85931,332.26,0.51,0.5,2024-09-10,801,N,VIIRS,l,2,303.61,3.44,D,0
28.94861,69.08546,312.88,0.36,0.58,2024-09-10,2027,N,VIIRS,n,2,292.82,0.62,N,0
28.94824,69.08754,303.99,0.67,0.74,2024-09-10,2207,N,VIIRS,n,2,290.65,0.44,N,0
28.94551,69.08414,302.27,0.7,0.75,2024-09-11,2008,N,VIIRS,n,2,291.4,0.37,N,0
28.94878,69.0877,305.14,0.36,0.57,2024-09-11,2148,N,VIIRS,n,2,293.15,0.32,N,0
28.94849,69.08856,310.09,0.38,0.44,2024-09-12,2129,N,VIIRS,n,2,293.97,0.77,N,0
28.04084,69.07789,338.94,0.49,0.4,2024-09-13,846,N,VIIRS,l,2,309.17,6.0,D,0
28.60366,68.03926,337.65,0.45,0.39,2024-09-13,846,N,VIIRS,l,2,309.74,2.83,D,0
29.16161,70.35856,333.93,0.39,0.44,2024-09-13,846,N,VIIRS,l,2,305.13,2.56,D,0
28.42446,69.69958,312.24,0.4,0.37,2024-09-13,2111,N,VIIRS,n,2,297.5,0.77,N,2
28.94646,69.08907,312.14,0.39,0.36,2024-09-13,2111,N,VIIRS,n,2,293.48,0.41,N,0
28.42643,69.70081,308.62,0.45,0.39,2024-09-14,2052,N,VIIRS,n,2,296.1,0.86,N,2
26.32153,68.84561,307.7,0.56,0.52,2024-09-15,2034,N,VIIRS,n,2,294.76,0.95,N,0
27.09088,69.22865,304.03,0.53,0.67,2024-09-16,2014,N,VIIRS,n,2,293.99,1.09,N,0
27.09352,69.2286,306.33,0.53,0.67,2024-09-16,2014,N,VIIRS,n,2,294.26,0.71,N,0
26.32374,68.84613,308.47,0.49,0.65,2024-09-16,2155,N,VIIRS,n,2,294.15,0.69,N,0
26.32541,68.84523,305.92,0.49,0.65,2024-09-16,2155,N,VIIRS,n,2,294.25,0.49,N,0
27.09203,69.23044,320.77,0.5,0.66,2024-09-16,2155,N,VIIRS,n,2,293.8,2.53,N,0
27.09256,69.23183,306.82,0.5,0.65,2024-09-16,2155,N,VIIRS,n,2,293.23,1.33,N,0
